GAME.#,POSS.#,PLAY.ID,SHOT.CLOCK.THIRD,SHOT.TYPE,CONTESTED?,PAINT.TOUCH,CAUSE.OF.PAINT,PAINT.ATTACKER,DEFENDER-ATTACKER,PLAY.RESULT,POINT.RESULT
23,33,42,:20 - :11,Dunk,TRUE,TRUE,Perimeter Drive,1 Andrew Jones,Opponent-Guard,Missed 2,0
23,34,43,:20 - :11,Layup,TRUE,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Guard,Missed 2,0
23,35,44,:20 - :11,N/A,N/A,TRUE,P&R Ball Handler,3 Courtney Ramey,Opponent-Big,Turnover,0
23,36,45,:10 - :00,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Assisted 3,3
23,37,46,:20 - :11,Off-the-dribble (2),TRUE,FALSE,N/A,N/A,N/A,Missed 2,0
23,38,47,:20 - :11,Catch-and-shoot,FALSE,TRUE,P&R Ball Handler,2 Matt Coleman III,Opponent-Guard,Missed 3,0
23,39,48,:20 - :11,N/A,N/A,FALSE,N/A,N/A,N/A,Turnover,0
23,40,49,:20 - :11,Catch-and-shoot,TRUE,FALSE,N/A,N/A,N/A,Missed 3,0
23,41,50,:30 - :21,Catch-and-shoot,FALSE,FALSE,N/A,N/A,N/A,Missed 3,0
23,42,51,:10 - :00,Dunk,FALSE,TRUE,Perimeter Drive,13 Jase Febres,Opponent-Guard,Assisted 2,2
23,43,52,:20 - :11,Layup,TRUE,TRUE,P&R Ball Handler,1 Andrew Jones,Opponent-Big,Shooting Foul,2
23,44,53,:10 - :00,Dunk,TRUE,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Guard,Missed 2,0
23,45,54,:10 - :00,Off-the-dribble (2),TRUE,FALSE,N/A,N/A,N/A,Missed 2,0
23,45,55,:10 - :00,Layup,TRUE,TRUE,Offensive Rebound,3 Courtney Ramey,Opponent-Big,Missed 2,0
23,46,56,:10 - :00,Catch-and-shoot,TRUE,TRUE,Perimeter Drive,3 Courtney Ramey,Opponent-Guard,Missed 3,0
23,46,57,:10 - :00,N/A,N/A,TRUE,Perimeter Drive,2 Matt Coleman III,Opponent-Guard,Turnover,0
23,47,58,:20 - :11,Dunk,TRUE,TRUE,Post-up (inside paint),20 Jericho Sims,Opponent-Big,Shooting Foul,0
23,48,59,:30 - :21,N/A,N/A,FALSE,N/A,34 Blake Nevins,N/A,Turnover,0
